data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2024-02-04,202406,3.0,3,3,3,0.022005994,26.607538,0,1,522000920240619768,2024-02-15,0.0,0.30760568,11275.0,22.3,82.4472402,0,0,0,81.7351194,81.0229992,22.3,22.3,,,,,,45
2024-01-28,202405,20.0,20,20,20,0.99505395,177.38359,0,1,522000920240519768,2024-02-15,0.0,2.827709,11275.0,22.4285714285714,80.6155614285714,0,1,2,79.3534528571429,78.0913435714286,22.6428571428571,22.8571428571429,,,,,,45
2024-01-21,202404,6.0,6,6,6,0.65125835,53.215076,0,1,522000920240419768,2024-02-15,0.0,1.2567092,11275.0,22.8571428571429,83.437763,0,0,1,82.0772011428571,80.7166408571429,22.9285714285714,23.0,,,,,,45
2024-01-14,202403,9.0,9,9,9,0.9575871,79.82262,0,1,522000920240319768,2024-02-15,0.0,2.7342813,11275.0,22.625,75.302707875,0,1,1,72.773421875,70.24414175,23.1875,23.75,,,,,,45
2024-01-07,202402,3.0,3,3,3,0.70161617,26.607538,0,1,522000920240219768,2024-02-15,0.0,1.5562261,11275.0,21.7142857142857,87.0944164285714,1,0,0,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,45
2023-12-31,202401,4.0,4,4,4,0.963801,35.47672,0,1,522000920240119768,2024-02-15,0.0,5.715059,11275.0,21.375,91.4545975,1,0,0,90.47780375,89.50101125,21.4375,21.5,,,,,,45
