data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2024-02-04,202406,291.0,164,770,130,1.0,258.57013,0,4,520800420240619768,2024-02-15,0.0,2.0667617,112542.0,22.3,82.4472402,0,1,2,81.7351194,81.0229992,22.3,22.3,,,,,,591
2024-01-28,202405,200.0,181,265,177,1.0,177.71143,0,4,520800420240519768,2024-02-15,0.0,2.247707,112542.0,22.4285714285714,80.6155614285714,0,1,2,79.3534528571429,78.0913435714286,22.6428571428571,22.8571428571429,,,,,,591
2024-01-21,202404,136.0,133,143,133,1.0,120.84377,0,3,520800420240419768,2024-02-15,0.0,2.5831797,112542.0,22.8571428571429,83.437763,0,1,2,82.0772011428571,80.7166408571429,22.9285714285714,23.0,,,,,,591
2024-01-14,202403,82.0,81,86,81,0.99999934,72.86169,0,1,520800420240319768,2024-02-15,0.0,2.6035836,112542.0,22.625,75.302707875,0,1,1,72.773421875,70.24414175,23.1875,23.75,,,,,,591
2024-01-07,202402,46.0,45,48,45,0.9950858,40.87363,0,1,520800420240219768,2024-02-15,0.0,1.8693628,112542.0,21.7142857142857,87.0944164285714,1,1,1,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,591
2023-12-31,202401,25.0,25,27,25,0.4469647,22.213928,0,1,520800420240119768,2024-02-15,0.0,0.9636186,112542.0,21.375,91.4545975,1,0,1,90.47780375,89.50101125,21.4375,21.5,,,,,,591
