data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2024-02-04,202406,933.0,67,9017,2,1.0,446.64227,0,1,520025820240619768,2024-02-15,0.0,1.6073815,208892.0,22.3,82.4472402,0,1,2,81.7351194,81.0229992,22.3,22.3,,,,,,1648
2024-01-28,202405,630.0,59,5564,10,0.99819845,301.59125,0,1,520025820240519768,2024-02-15,0.0,1.1866354,208892.0,22.4285714285714,80.6155614285714,0,1,2,79.3534528571429,78.0913435714286,22.6428571428571,22.8571428571429,,,,,,1648
2024-01-21,202404,615.0,262,3046,238,0.8854542,294.41052,0,4,520025820240419768,2024-02-15,0.0,1.0722597,208892.0,22.8571428571429,83.437763,0,0,2,82.0772011428571,80.7166408571429,22.9285714285714,23.0,,,,,,1648
2024-01-14,202403,397.0,205,1691,196,4.1512502e-07,190.05035,0,4,520025820240319768,2024-02-15,0.0,0.7243056,208892.0,22.625,75.302707875,0,0,2,72.773421875,70.24414175,23.1875,23.75,,,,,,1648
2024-01-07,202402,607.0,496,1357,494,1.0,290.58078,0,4,520025820240219768,2024-02-15,0.0,1.7589179,208892.0,21.7142857142857,87.0944164285714,0,1,2,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,1648
2023-12-31,202401,769.0,709,1257,708,1.0,368.1328,0,4,520025820240119768,2024-02-15,0.0,5.6403565,208892.0,21.375,91.4545975,1,1,2,90.47780375,89.50101125,21.4375,21.5,,,,,,1648
